YEAR,WEEK,TOTAL SPECIMENS,TOTAL B,TOTAL A
1997,40,1291,0,0
1997,41,1513,0,11
1997,42,1552,1,16
1997,43,1669,0,7
1997,44,1897,0,10
1997,45,2106,0,6
1997,46,2204,1,7
1997,47,2533,1,22
1997,48,2242,1,36
1997,49,2607,1,39
1997,50,3086,2,96
1997,51,3410,0,243
1997,52,3349,0,422
1997,53,4402,1,789
1998,1,5294,3,1019
1998,2,5501,4,1147
1998,3,6196,1,1586
1998,4,6730,1,1888
1998,5,6288,1,1679
1998,6,5867,5,1425
1998,7,4904,4,983
1998,8,3975,4,562
1998,9,3169,3,304
1998,10,2658,6,196
1998,11,2234,5,116
1998,12,2048,6,78
1998,13,1683,7,40
1998,14,1532,6,28
1998,15,1357,12,27
1998,16,1421,4,17
1998,17,1236,6,10
1998,18,1142,5,11
1998,19,1038,4,5
1998,20,938,7,2
1998,21,0,0,0
1998,22,0,0,0
1998,23,0,0,0
1998,24,0,0,0
1998,25,0,0,0
1998,26,0,0,0
1998,27,0,0,0
1998,28,0,0,0
1998,29,0,0,0
1998,30,0,0,0
1998,31,0,0,0
1998,32,0,0,0
1998,33,0,0,0
1998,34,0,0,0
1998,35,0,0,0
1998,36,0,0,0
1998,37,0,0,0
1998,38,0,0,0
1998,39,0,0,0
1998,40,1407,0,2
1998,41,1453,0,5
1998,42,1654,0,3
1998,43,1814,5,1
1998,44,2051,0,18
1998,45,2222,4,10
1998,46,2051,4,4
1998,47,1809,8,9
1998,48,2397,11,17
1998,49,2432,21,24
1998,50,2428,14,28
1998,51,2207,27,56
1998,52,2706,31,129
1999,1,3524,76,255
1999,2,3889,111,463
1999,3,4262,153,712
1999,4,5210,269,881
1999,5,6143,400,1278
1999,6,6574,407,1453
1999,7,6723,379,1336
1999,8,6616,366,1303
1999,9,5933,334,1053
1999,10,4289,216,667
1999,11,4014,176,451
1999,12,3242,121,343
1999,13,2712,61,163
1999,14,2222,38,138
1999,15,1721,20,91
1999,16,1368,8,28
1999,17,1108,3,25
1999,18,982,4,13
1999,19,801,4,5
1999,20,618,1,6
1999,21,239,0,7
1999,22,97,0,1
1999,23,20,0,0
1999,24,0,0,0
1999,25,0,0,0
1999,26,0,0,0
1999,27,0,0,0
1999,28,0,0,0
1999,29,0,0,0
1999,30,0,0,0
1999,31,0,0,0
1999,32,0,0,0
1999,33,0,0,0
1999,34,0,0,0
1999,35,0,0,0
1999,36,0,0,0
1999,37,0,0,0
1999,38,0,0,0
1999,39,0,0,0
1999,40,1687,0,18
1999,41,1883,1,19
1999,42,2097,3,44
1999,43,2162,0,57
1999,44,2454,2,94
1999,45,2576,0,148
1999,46,2862,0,231
1999,47,2709,1,285
1999,48,3845,0,527
1999,49,4422,1,844
1999,50,5597,4,1302
1999,51,5575,1,1725
1999,52,7323,4,2147
2000,1,8423,1,2102
2000,2,7722,2,1643
2000,3,6242,3,1041
2000,4,5482,5,690
2000,5,4550,1,484
2000,6,4059,4,408
2000,7,3523,6,257
2000,8,3142,9,191
2000,9,2698,5,95
2000,10,2195,6,69
2000,11,1960,5,48
2000,12,1879,3,30
2000,13,1708,3,18
2000,14,1506,4,15
2000,15,1294,5,17
2000,16,1212,5,18
2000,17,1108,4,12
2000,18,1061,6,4
2000,19,947,1,1
2000,20,865,2,0
2000,21,772,2,4
2000,22,620,0,3
2000,23,666,2,1
2000,24,680,1,0
2000,25,565,0,0
2000,26,551,1,0
2000,27,26,0,0
2000,28,41,0,0
2000,29,28,0,0
2000,30,5,0,0
2000,31,1,0,0
2000,32,0,0,0
2000,33,0,0,0
2000,34,0,0,0
2000,35,0,0,0
2000,36,0,0,0
2000,37,0,0,0
2000,38,0,0,0
2000,39,0,0,0
2000,40,1387,1,0
2000,41,1490,0,4
2000,42,1691,2,2
2000,43,1683,2,12
2000,44,1964,3,13
2000,45,1862,7,30
2000,46,2183,13,30
