date,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,OT,%UNWEIGHTED ILI,AGE 0-4,AGE 25-64,AGE 5-24,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
1997-10-06,1291,0,0,0.0,0.0,0.0,1.10148,1.21686,179,157,205,29,570,192,46842
1997-10-13,1513,11,0,0.727032,0.007270323859881031,0.0,1.20007,1.28064,199,151,242,23,615,191,48023
1997-10-20,1552,16,1,1.09536,0.010309278350515464,0.0006443298969072165,1.37876,1.23906,228,153,266,34,681,219,54961
1997-10-27,1669,7,0,0.419413,0.004194128220491312,0.0,1.1992,1.14473,188,193,236,36,653,213,57044
1997-11-03,1897,10,0,0.527148,0.005271481286241434,0.0,1.65618,1.26112,217,162,280,41,700,213,55506
1997-11-10,2106,6,0,0.2849,0.002849002849002849,0.0,1.41326,1.28275,178,148,281,48,655,195,51062
1997-11-17,2204,7,1,0.362976,0.003176043557168784,0.00045372050816696913,1.9868,1.44579,294,240,328,70,932,248,64463
1997-11-24,2533,22,1,0.908014,0.008685353335965259,0.00039478878799842083,2.44749,1.64796,288,293,456,63,1100,256,66749
1997-12-01,2242,36,1,1.65031,0.016057091882247992,0.00044603033006244426,1.73901,1.67517,268,206,343,69,886,252,52890
1997-12-08,2607,39,1,1.53433,0.014959723820483314,0.0003835826620636747,1.93919,1.61739,299,282,415,102,1098,253,67887
1997-12-15,3086,96,2,3.17563,0.031108230719377836,0.0006480881399870382,2.28166,1.76632,346,268,388,81,1083,242,61314
1997-12-22,3410,243,0,7.1261,0.07126099706744868,0.0,2.50761,2.10398,348,235,362,59,1004,190,47719
1997-12-29,3349,422,0,12.6008,0.12600776351149598,0.0,4.11352,3.13655,510,404,492,113,1519,251,48429
1998-01-05,4402,789,1,17.9464,0.17923671058609722,0.00022716946842344388,5.62372,3.7185,579,584,576,207,1946,250,52333
1998-01-05,5294,1019,3,19.3049,0.19248205515678127,0.0005666792595391009,4.37398,3.59225,639,759,810,207,2415,254,67228
1998-01-12,5501,1147,4,20.9235,0.20850754408289401,0.0007271405199054717,4.19434,3.68922,690,654,1121,148,2613,255,70828
1998-01-19,6196,1586,1,25.6133,0.2559715945771465,0.00016139444803098772,5.42123,4.60396,856,679,1440,151,3126,245,67898
1998-01-26,6730,1888,1,28.0684,0.28053491827637445,0.00014858841010401187,5.66137,4.91007,824,817,1600,196,3437,245,69999
1998-02-02,6288,1679,1,26.7176,0.26701653944020354,0.00015903307888040714,5.97802,4.82687,881,769,1471,233,3354,239,69486
1998-02-09,5867,1425,5,24.3736,0.24288392704959946,0.0008522243054371911,4.7358,3.9459,699,671,1101,146,2617,234,66322
1998-02-16,4904,983,4,20.1264,0.20044861337683523,0.0008156606851549756,3.44581,3.1081,457,523,849,119,1948,223,62675
1998-02-23,3975,562,4,14.239,0.14138364779874213,0.0010062893081761006,2.47799,2.13953,313,330,534,112,1289,217,60247
1998-03-02,3169,304,3,9.6876,0.09592931524140107,0.0009466708740927738,1.65732,1.43954,241,214,308,64,827,211,57449
1998-03-09,2658,196,6,7.5997,0.07373965387509406,0.002257336343115124,1.96952,1.47879,201,183,305,59,748,208,50582
1998-03-16,2234,116,5,5.41629,0.051924798567591766,0.0022381378692927483,1.58545,1.08556,162,123,249,51,585,200,53889
1998-03-23,2048,78,6,4.10156,0.0380859375,0.0029296875,1.80474,0.997967,156,93,196,41,486,177,48699
1998-03-30,1683,40,7,2.79263,0.023767082590612002,0.0041592394533571005,1.04624,0.744205,90,92,144,32,358,182,48105
1998-04-06,1532,28,6,2.21932,0.018276762402088774,0.0039164490861618795,1.4004,0.856631,82,93,152,41,368,170,42959
1998-04-13,1357,27,12,2.87399,0.01989683124539425,0.008843036109064112,0.79687,0.621737,64,73,106,19,262,156,42140
