YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,total_specimens_combined,PERCENT POSITIVE_x,A (2009 H1N1)_x,A (H1),A (H3)_x,A (Subtyping not Performed)_x,A (Unable to Subtype),B_x,H3N2v_x,A (H5)_x,total_specimens_clinical_labs,TOTAL A,TOTAL B,PERCENT POSITIVE_y,PERCENT A,PERCENT B,total_specimens_public_health,A (2009 H1N1)_y,A (H3)_y,A (Subtyping not Performed)_y,B_y,BVic,BYam,H3N2v_y,A (H5)_y
1997,40,1.10148,1.21686,179,X,157,205,X,29,570,192,46842,1291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1997,41,1.20007,1.28064,199,X,151,242,X,23,615,191,48023,1513.0,0.727032,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1997,42,1.37876,1.23906,228,X,153,266,X,34,681,219,54961,1552.0,1.09536,0.0,0.0,3.0,13.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
1997,43,1.1992,1.14473,188,X,193,236,X,36,653,213,57044,1669.0,0.419413,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1997,44,1.65618,1.26112,217,X,162,280,X,41,700,213,55506,1897.0,0.527148,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1997,45,1.41326,1.28275,178,X,148,281,X,48,655,195,51062,2106.0,0.2849,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1997,46,1.9868,1.44579,294,X,240,328,X,70,932,248,64463,2204.0,0.362976,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
1997,47,2.44749,1.64796,288,X,293,456,X,63,1100,256,66749,2533.0,0.908014,0.0,0.0,5.0,17.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
1997,48,1.73901,1.67517,268,X,206,343,X,69,886,252,52890,2242.0,1.65031,0.0,0.0,14.0,22.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
1997,49,1.93919,1.61739,299,X,282,415,X,102,1098,253,67887,2607.0,1.53433,0.0,0.0,11.0,28.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
